Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty, Trend
0,0 ,0,1,3,116,300,Tamerlane WON,0.931373,0.898364
Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty, Trend
0,0 ,0,1,3,116,300,Tamerlane WON,0.931373,0.898364
Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty, Trend
0,0 ,0,1,3,116,300,Tamerlane WON,0.931373,0.898364
Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty, Trend
0,0 ,0,1,3,116,300,Tamerlane WON,0.931373,0.898364
Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty, Trend
0,0 ,0,1,4,102,300,Ottoman WON,0.90371,0.950209
Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty, Trend
0,0 ,0,1,4,102,300,Ottoman WON,0.90371,0.950209
